index,timestamp,username,comment,likes,replycount
1,2022-09-26T09:22:51Z,Sonalee123,You guys made me laugh during toughest phase of my life..love you so much..please don&#39;t stop making videos,0,0
2,2022-06-05T14:30:32Z,NOX NAGA,Salman Khan from - tere naam 🤣🤣,1,0
3,2022-04-25T06:49:52Z,Harshil's Corner,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m26s"">0:26</a>- that sound....",0,0
4,2022-04-24T06:31:13Z,cheriqxlia,the last pot flip was so good that even Shankar started running,1,0
5,2022-04-18T05:56:42Z,Pavitra Poojari,What is up with Nasser&#39;s hair🤣🤣🤣,0,0
6,2022-04-05T05:20:04Z,Gouri Isrannavar,nasres vig &lt;3,0,0
7,2022-03-31T03:00:21Z,Anjana Wijewardhana,Round twoo 😂💯<br>Love from SL 🇱🇰,0,0
8,2022-02-23T16:38:17Z,Sameer's Home Comedy,Ha ha ha,1,0
9,2022-01-28T20:38:11Z,Sharanya-ish,This came out on the day of my 8th birthday :D<br>Me watching this while being a teenager be like 👁👄👁,2,0
10,2022-01-27T17:55:44Z,Keerthan Krishna S Naik,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=00m24s"">00:24</a> 😂😂😂😂🤣🤣🤣",0,0
11,2021-12-30T17:00:23Z,Varun Subramanian,The poor calf gets scared at Vineet Beep running towards him. Hahaha. Have to agree that Nasser’s reactions are dope! Nailed it!!!,0,0
12,2021-12-21T16:20:11Z,എന്തെങ്കിലും Vlogs,Can watch this a 1000times an still laugh 😂,0,0
13,2021-12-08T09:44:02Z,Channel Complete News,Funny,0,0
14,2021-11-25T07:25:26Z,Sugandan Balaji RajendraKumar,Naser with that hairstyle looks like Kunal in Kadhalar Dhinam,0,0
15,2021-11-15T16:17:45Z,oof,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m22s"">0:22</a> I guess that dude in the background has lost his mind 😂",0,0
16,2021-11-15T08:49:05Z,voice reveal at 1k subs!,🤣😂,0,0
17,2021-11-14T08:09:51Z,GamerShawnXD,wow lol it was so funny at last,0,0
18,2021-11-13T07:07:07Z,Only Angel ,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m21s"">0:21</a> anyone notice the guy behind them was mad at them lol",0,0
19,2021-11-07T17:40:15Z,Medival,"The guy in the background which is <a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m22s"">0:22</a> he would be like what are these idiots doing 😂😂",0,0
20,2021-11-07T05:26:50Z,Reeper,best 40 second creation by mankind,0,0
21,2021-11-06T13:09:16Z,Jai Varun,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m25s"">0:25</a> Naser&#39;s reaction lmao",0,0
22,2021-11-05T15:26:08Z,Teen Talent Show,They forgot to add Indians flipping gas cylinders😭😂,0,0
23,2021-11-04T18:23:57Z,Mohamed Aashif,legends watch in te end of 2021,1,0
24,2021-10-27T10:12:07Z,PASUPATHINATH T,Too good... Attitude.. Reaction fantastic,0,0
25,2021-10-21T08:41:34Z,Clayton Lester,I love the fact that the calves got triggered 😂😂,0,0
26,2021-10-18T07:54:42Z,Pragathi,what did u expect🤣🤣🤣,0,0
27,2021-10-13T04:12:30Z,VEL HARIVARASAN,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m26s"">0:26</a> screaming",0,0
28,2021-10-09T16:49:03Z,dang cat-anti LGBT,I can&#39;t believe it,1,0
29,2021-10-08T07:31:53Z,Sudhanshu Rai,Play this video again and again and again.. you won&#39;t stop laughing..,0,0
30,2021-10-05T17:55:22Z,annoying one,Nothing is impossible for Indians🥴😂😂,1,0
31,2021-10-03T09:43:41Z,AYAN BORO,In India bottle nothing India flip cylinder 😂😂,1,0
32,2021-09-09T08:19:17Z,niranjan nandith,Vineeth running in the last was 😂😂🤣,1,0
33,2021-09-05T11:23:46Z,Phoenix ,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m25s"">0:25</a>. when nas breaks the pot and d-nesh yells like eeehheehhh so funny",0,0
34,2021-09-04T14:08:47Z,syed abdullah aleem,the sheep in the background,0,0
35,2021-08-31T12:28:15Z,THE AMAZING YOUTUBER,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m20s"">0:20</a> that was cool",0,0
36,2021-08-31T08:45:53Z,Social Kindle,Naser looking looks like a girl,1,0
37,2021-08-30T07:41:25Z,iman pmt,Naser Look like Salman khan in saawan,2,0
38,2021-08-30T05:51:17Z,Isaac  1010,I could watch this a thousand times. It is so funny🤣🤣🤣,0,0
39,2021-08-28T10:09:39Z,Soundharyaah Sathishkumar,Hats off the jordindian for using maari bgm,0,0
40,2021-08-27T13:34:30Z,ABHI,This old is gold 😂😂,0,0
41,2021-08-27T06:01:26Z,Advit Chib,"scream on <a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m26s"">0:26</a>",0,0
42,2021-08-18T11:30:32Z, Reach 1k subscribers :],Anyone in 2021🧡?,1,1
42(1),2021-08-24T12:02:08Z,The truth will set u free,Yea,0,0
43,2021-08-17T16:46:44Z,Ashwin Konar,Anyone 2021,0,0
44,2021-08-13T10:08:23Z,Aniruddh P Rao,"Not kidding around, This is one of the funniest videos I&#39;ve seen. <br>Like 4-5 years ago this was like Wow!! Now It&#39;s like ok cool.",0,0
45,2021-08-04T17:44:27Z,Ishaan Chandra,Sad that they had to wait weeks for 40 second vids. Now we have to wait 5 months for 7 minute videos,0,0
46,2021-08-03T19:19:06Z,The Little Commentator,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m12s"">0:12</a> <b>Eliminated</b>",1,0
47,2021-08-03T01:59:12Z,Basundhara,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m21s"">0:21</a> doing that with my lungi is the best thing ever.🙂. I am a girl though",0,0
48,2021-08-01T11:38:16Z,Edwin Charles,😂,0,0
49,2021-07-22T08:44:14Z,DannySalomi Zxlykik,Those cows were scared af,0,0
50,2021-07-21T09:54:05Z,Saba Khan,The way he screamed🤣🤣🤣😂,0,0
51,2021-07-19T11:18:28Z,Just Jiya,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m24s"">0:24</a> 🤣🤣🤣🤣😂",0,0
52,2021-07-19T07:39:18Z,Brawlstars adda,Who came again,0,0
53,2021-07-16T08:22:18Z,Harish Khanna,Disclaimer : no pot is harmed during this shoot,0,0
54,2021-07-15T16:24:03Z,Someone  •—•,2021 AND STILL IM LAUGHING !!!!!!<br>THE LUNGI THO <br>LMAO,0,0
